"ID","zmax","zmean","zsd","zskew","zkurt","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9","itot","imax","imean","isd","iskew","ikurt","ipground","ipcumzq10","ipcumzq30","ipcumzq50","ipcumzq70","ipcumzq90","p1th","p2th","p3th","p4th","p5th","pground","n","area"
"7094_11",29.373576,9.12711527036038,10.0367929267692,0.544997466058527,1.70694380002212,43.5624702333704,53.4211779647563,-0.06096,-0.01524,-0.003048,0,0.003048,0.006096,0.018288,0.070104,0.3325368,5.876544,8.406384,10.5137712,12.8494536,15.33144,19.174968,21.3792816,23.2855008,24.7095264,26.285952,34.8641782294313,38.4404924760602,45.7103771741255,53.8401407074458,61.8721907367598,65.6439319914012,73.421926910299,82.6460816884894,94.6843853820598,139120,79,22.0860454040324,16.797730812887,0.622720761182737,2.2783754033109,44.8612708453134,18.6134272570443,50.9531339850489,74.2531627372053,90.406843013226,97.2901092581944,62.7083664073662,30.2587712335291,6.46134307032862,0.555643752976663,0.0158755357993332,28.6712176535958,6299,1262.09692317286
"7097-11",30.230064,13.3652098385565,8.87695319553131,-0.0365797334845993,2.05051383600476,52.1684077239633,80.1836024058246,-0.003048,0,0.009144,3.2711136,7.606284,9.3585792,10.7542584,11.8664736,12.9238248,13.719048,14.3953992,15.185136,16.2482784,17.5857408,19.658076,22.436328,24.4964712,26.2902192,27.684984,14.7960903269296,17.0879676440849,24.6376811594203,37.3441186383552,57.1621166161106,69.9696663296259,76.3060330299966,83.5524098415908,93.2591843613077,62195,74,19.6881924659702,15.1685471466208,0.892305804332118,3.051093760896,20.9132566926602,13.679556234424,32.9833587908996,57.2312886888013,83.6192619985529,96.6894444891068,58.1829692940804,31.2124089901868,9.65495409939854,0.91801202912314,0.0316555872111428,16.61918328585,3159,1250.98867398275
"H2001_3",30.89148,13.078094048587,8.65491675302618,-0.103078442815508,1.98353169295773,53.4291852586349,80.0859362088911,-0.009144,0,0.012192,2.993136,6.999732,8.836152,10.358628,11.515344,12.795504,13.661136,14.481048,15.43812,16.594836,17.989296,19.571208,21.68652,23.513796,24.893016,26.491692,13.110632183908,16.7205459770115,25.5926724137931,38.3081896551724,56.5912356321839,69.3965517241379,78.125,88.4698275862069,97.8268678160919,99972,68,16.5215666831929,12.6630322609147,0.938946493617856,3.22844649373238,16.5456327771776,15.2962829592286,33.9885167846997,57.3310526947545,83.3713439763134,96.7981034689713,54.5860188398612,34.2422740042968,9.86613782845811,1.23946455131383,0.0661047760700711,12.5929598413485,6051,1253.09310312109
"H2001_4",30.897576,10.4186486737446,11.6306281815436,0.495086526992765,1.52779863188403,42.1233859397417,51.9081779053085,-0.064008,-0.01524,-0.006096,0,0,0.006096,0.01524,0.054864,0.155448,4.674108,8.661654,11.5683792,15.7258512,20.698968,23.353776,25.6099056,26.7817092,27.9474168,28.8266124,35.9015516318887,40.0214018191546,45.211342964152,51.5962190119494,56.251114678081,60.2817906188693,64.597824148386,72.1776350989834,86.7843766720171,142889,74,20.5005738880918,15.63194341729,0.626187177055615,2.29747404418953,47.2919538942816,19.2499072706786,51.9116237079131,76.3326778128477,90.6416869038205,97.4987577770157,57.6327116212339,33.8737446197991,7.71879483500717,0.731707317073171,0.0430416068866571,29.6987087517934,6970,1263.82440568402
"7096_11",35.225736,13.37459724609,14.6495503835163,0.292912037881528,1.20882800224565,44.7654005745292,48.1327800829876,-0.009144,-0.003048,0,0.003048,0.012192,0.039624,0.073152,0.100584,0.143256,0.278892,12.6873,22.756368,26.627328,28.382976,29.72943,30.955488,31.94685,32.805624,33.582102,45.8942429164411,47.1214582205378,48.5471936473561,49.756361667569,50.8752932683631,52.6258798050893,57.1016062082657,65.3131203753835,81.5556758707814,109253,79,17.4358442387488,14.7119439366417,1.17774849101591,3.91964824776726,44.7905320677693,18.8187052071797,47.6902236094203,79.0330700301136,89.6414743759897,96.5181734140024,56.8464730290456,35.2058729652091,7.29332907756144,0.654324928183849,0,28.2317267794446,6266,1257.85273187008
"7093",30.89148,12.8279816990748,8.72279769389495,-0.00119435779100873,2.01087640113522,51.5013796461613,79.6461613374452,-0.009144,0,0.009144,0.36576,6.809232,8.64108,9.933432,11.067288,12.109704,13.127736,13.926312,14.871192,15.937992,17.279112,19.056096,21.573744,23.750016,25.402032,26.938224,13.5626102292769,17.1252204585538,26.4726631393298,41.5696649029982,59.5943562610229,71.4109347442681,78.4656084656085,86.5432098765432,97.4426807760141,102699,68,16.6692095439052,12.6350358661685,0.93304037055383,3.23612133787024,15.9358903202563,14.9349068637475,32.9156077469109,55.9343323693512,81.5898888986261,96.8178852763902,55.4293134231456,33.630904074014,9.75490991722123,1.13617919168966,0.0486933939295569,12.7901314721636,6161,1266.4342766081
"7092",31.687008,10.9860996648921,12.8014099974841,0.419711146591281,1.31084607037746,42.0565984869711,45.3068086298683,-0.012192,-0.006096,-0.003048,0,0,0.003048,0.003048,0.009144,0.01524,0.070104,3.4326576,16.3031424,21.7895424,24.121872,25.615392,26.901648,28.0775664,28.9047936,29.745432,44.2094313453537,45.5963938973648,47.1914008321775,48.9251040221914,50.1733703190014,52.9819694868239,57.6629680998613,67.7877947295423,84.8474341192788,88652,84,24.8394508265621,19.5326492033241,0.646050255883811,2.35875408743491,77.212020033389,22.8003880341109,59.0420971890087,79.4826963858683,91.9776203582548,97.6199070522944,59.2042588960493,33.454749229476,6.83664892126646,0.476323900252171,0.0280190529560101,48.6130568786775,3569,1259.19207886653
"7095_11",30.428184,8.59993773363431,11.7015572635864,0.71354671413174,1.63103075834956,35.4778028592927,36.7569601203913,-0.012192,-0.006096,-0.003048,-0.003048,0,0,0.003048,0.003048,0.006096,0.009144,0.021336,0.113385600000001,11.423142,20.0156064,22.597872,24.4242336,25.6208784,26.6422632,28.0176732,53.448275862069,54.0708812260536,54.9808429118774,55.6513409961686,56.9923371647509,59.6264367816092,64.272030651341,74.0421455938697,90.8524904214559,81348,89,30.6049661399549,22.3104588252845,0.375463834644997,1.92052953168874,83.3443969120323,22.2845060726754,53.8292275163495,75.6625854354133,92.6759109013129,97.8155578502237,65.9142212189616,28.3295711060948,5.4176072234763,0.300978179082017,0.0376222723852521,57.1482317531979,2658,1256.16120601623
"7091",28.998672,13.7557530855661,8.3462664930909,-0.46367847324537,2.0573687452753,58.1244598098531,80.2218380870066,-0.009144,0,0.01524,3.0729936,8.578596,10.597896,12.13104,13.3459728,14.423136,15.383256,16.3314888,17.074896,18.0065172,19.0582296,20.378928,21.674328,22.6766628,23.83536,25.1001276,12.7101335428123,13.7784760408484,18.5388845247447,26.394344069128,40.471327572663,58.2717989002357,72.3173605655931,86.2058130400628,97.6904948939513,127215,74,18.3254105445117,13.9370530963408,0.819951703615027,2.82363126141799,13.7751051369728,13.8922296898951,30.9499665919899,51.0136383288134,75.0980623354164,92.7249145147978,57.476231633535,32.0080668395275,9.49294151541343,0.979544799769519,0.0432152117545376,11.9562085854221,6942,1265.45780038735
"7090",28.328112,13.8515622101634,8.23744185032819,-0.500338848438768,2.11204420804778,58.5969120071953,80.8874231749363,-0.009144,0,0.024384,5.553456,8.927592,11.024616,12.335256,13.514832,14.587728,15.48384,16.392144,17.123664,18.0594,19.092672,20.357592,21.598128,22.559772,23.679912,24.912828,12.1863799283154,13.1801889866406,17.644183773216,24.9755620723363,37.8787878787879,55.6533072662105,70.3323558162268,84.3108504398827,96.4646464646465,127397,74,19.0971368610403,14.3521624159602,0.743758032906554,2.63692675041906,13.3299842225484,13.281317456455,30.2047928915124,50.5459312228702,74.7003461619975,92.4597910468849,59.1365612351971,30.8799280467696,8.96417328736321,0.974366661669915,0.0449707690001499,11.5574876330385,6671,1262.09615833472
